,medal_type,medal_code,medal_date,athlete_short_name,athlete_name,country_code,discipline_code
790,Silver Medal,2,2021-07-31 00:00:00.0,SANTOS L,SANTOS Luguelin,DOM,ATH
791,Silver Medal,2,2021-07-31 00:00:00.0,FELIZ LA,FELIZ Lidio Andres,DOM,ATH
792,Silver Medal,2,2021-07-31 00:00:00.0,PAULINO M,PAULINO Marileidy,DOM,ATH
793,Silver Medal,2,2021-07-31 00:00:00.0,MEDINA VENTURA A,MEDINA VENTURA Anabel,DOM,ATH
794,Bronze Medal,3,2021-07-31 00:00:00.0,GODWIN E,GODWIN Elija,USA,ATH
795,Bronze Medal,3,2021-07-31 00:00:00.0,DEADMON B,DEADMON Bryce,USA,ATH
796,Bronze Medal,3,2021-07-31 00:00:00.0,ELLIS K,ELLIS Kendall,USA,ATH
797,Bronze Medal,3,2021-07-31 00:00:00.0,WHITNEY K,WHITNEY Kaylin,USA,ATH
798,Bronze Medal,3,2021-07-31 00:00:00.0,STEWART T,STEWART Trevor,USA,ATH
799,Bronze Medal,3,2021-07-31 00:00:00.0,MANSON T,MANSON Taylor,USA,ATH
800,Bronze Medal,3,2021-07-31 00:00:00.0,IRBY L,IRBY Lynna,USA,ATH
801,Bronze Medal,3,2021-07-31 00:00:00.0,NORWOOD V,NORWOOD Vernon,USA,ATH
802,Gold Medal,1,2021-07-31 00:00:00.0,STAHL D,STAHL Daniel,SWE,ATH
803,Silver Medal,2,2021-07-31 00:00:00.0,PETTERSSON S,PETTERSSON Simon,SWE,ATH
804,Bronze Medal,3,2021-07-31 00:00:00.0,WEISSHAIDINGER L,WEISSHAIDINGER Lukas,AUT,ATH
805,Gold Medal,1,2021-07-31 00:00:00.0,THOMPSON-HERAH E,THOMPSON-HERAH Elaine,JAM,ATH
806,Silver Medal,2,2021-07-31 00:00:00.0,FRASER-PRYCE SA,FRASER-PRYCE Shelly-Ann,JAM,ATH
807,Bronze Medal,3,2021-07-31 00:00:00.0,JACKSON S,JACKSON Shericka,JAM,ATH
808,Gold Medal,1,2021-07-31 00:00:00.0,WANG CL,WANG Chi-Lin,TPE,BDM
809,Gold Medal,1,2021-07-31 00:00:00.0,LEE Y,LEE Yang,TPE,BDM
810,Silver Medal,2,2021-07-31 00:00:00.0,LI Jun Hui,LI Jun Hui,CHN,BDM
811,Silver Medal,2,2021-07-31 00:00:00.0,LIU Y,LIU Yu Chen,CHN,BDM
812,Bronze Medal,3,2021-07-31 00:00:00.0,CHIA A,CHIA Aaron,MAS,BDM
813,Bronze Medal,3,2021-07-31 00:00:00.0,SOH WY,SOH Wooi Yik,MAS,BDM
814,Bronze Medal,3,2021-07-31 00:00:00.0,TESTA I,TESTA Irma,ITA,BOX
815,Bronze Medal,3,2021-07-31 00:00:00.0,ARTINGSTALL K,ARTINGSTALL Karriss,GBR,BOX
816,Gold Medal,1,2021-07-31 00:00:00.0,POZDNIAKOVA S,POZDNIAKOVA Sofia,ROC,FEN
817,Gold Medal,1,2021-07-31 00:00:00.0,NIKITINA O,NIKITINA Olga,ROC,FEN
818,Gold Medal,1,2021-07-31 00:00:00.0,VELIKAYA S,VELIKAYA Sofya,ROC,FEN
819,Silver Medal,2,2021-07-31 00:00:00.0,BALZER S,BALZER Sara,FRA,FEN
820,Silver Medal,2,2021-07-31 00:00:00.0,BERDER C,BERDER Cecilia,FRA,FEN
821,Silver Medal,2,2021-07-31 00:00:00.0,BRUNET M,BRUNET Manon,FRA,FEN
822,Silver Medal,2,2021-07-31 00:00:00.0,LEMBACH C,LEMBACH Charlotte,FRA,FEN
823,Bronze Medal,3,2021-07-31 00:00:00.0,KIM J,KIM Jiyeon,KOR,FEN
824,Bronze Medal,3,2021-07-31 00:00:00.0,YOON J,YOON Jisu,KOR,FEN
825,Bronze Medal,3,2021-07-31 00:00:00.0,SEO J,SEO Jiyeon,KOR,FEN
826,Bronze Medal,3,2021-07-31 00:00:00.0,CHOI S,CHOI Sooyeon,KOR,FEN
827,Gold Medal,1,2021-07-31 00:00:00.0,BUCHARD A,BUCHARD Amandine,FRA,JUD
828,Gold Medal,1,2021-07-31 00:00:00.0,RINER T,RINER Teddy,FRA,JUD
829,Gold Medal,1,2021-07-31 00:00:00.0,le BLOUCH K,le BLOUCH Kilian,FRA,JUD
830,Gold Medal,1,2021-07-31 00:00:00.0,CHAINE G,CHAINE Guillaume,FRA,JUD
831,Gold Medal,1,2021-07-31 00:00:00.0,CLERGET A,CLERGET Axel,FRA,JUD
832,Gold Medal,1,2021-07-31 00:00:00.0,IDDIR A,IDDIR Alexandre,FRA,JUD
833,Gold Medal,1,2021-07-31 00:00:00.0,DICKO R,DICKO Romane,FRA,JUD
834,Gold Medal,1,2021-07-31 00:00:00.0,MALONGA M,MALONGA Madeleine,FRA,JUD
835,Gold Medal,1,2021-07-31 00:00:00.0,AGBEGNENOU C,AGBEGNENOU Clarisse,FRA,JUD
836,Gold Medal,1,2021-07-31 00:00:00.0,PINOT M,PINOT Margaux,FRA,JUD
837,Gold Medal,1,2021-07-31 00:00:00.0,CYSIQUE SL,CYSIQUE Sarah Leonie,FRA,JUD
838,Silver Medal,2,2021-07-31 00:00:00.0,ABE U,ABE Uta,JPN,JUD
839,Silver Medal,2,2021-07-31 00:00:00.0,ARAI C,ARAI Chizuru,JPN,JUD
840,Silver Medal,2,2021-07-31 00:00:00.0,YOSHIDA T,YOSHIDA Tsukasa,JPN,JUD
841,Silver Medal,2,2021-07-31 00:00:00.0,TASHIRO M,TASHIRO Miku,JPN,JUD
842,Silver Medal,2,2021-07-31 00:00:00.0,SONE A,SONE Akira,JPN,JUD
843,Silver Medal,2,2021-07-31 00:00:00.0,HARASAWA H,HARASAWA Hisayoshi,JPN,JUD
844,Silver Medal,2,2021-07-31 00:00:00.0,HAMADA S,HAMADA Shori,JPN,JUD
845,Silver Medal,2,2021-07-31 00:00:00.0,NAGASE T,NAGASE Takanori,JPN,JUD
846,Silver Medal,2,2021-07-31 00:00:00.0,WOLF A,WOLF Aaron,JPN,JUD
847,Silver Medal,2,2021-07-31 00:00:00.0,MUKAI S,MUKAI Shoichiro,JPN,JUD
848,Silver Medal,2,2021-07-31 00:00:00.0,ONO S,ONO Shohei,JPN,JUD
849,Silver Medal,2,2021-07-31 00:00:00.0,ABE H,ABE Hifumi,JPN,JUD
850,Bronze Medal,3,2021-07-31 00:00:00.0,MUKI S,MUKI Sagi,ISR,JUD
851,Bronze Medal,3,2021-07-31 00:00:00.0,BUTBUL T,BUTBUL Tohar,ISR,JUD
852,Bronze Medal,3,2021-07-31 00:00:00.0,SASSON O,SASSON Or,ISR,JUD
853,Bronze Medal,3,2021-07-31 00:00:00.0,KOCHMAN L,KOCHMAN Li,ISR,JUD
854,Bronze Medal,3,2021-07-31 00:00:00.0,SHMAILOV B,SHMAILOV Baruch,ISR,JUD
855,Bronze Medal,3,2021-07-31 00:00:00.0,PALTCHIK P,PALTCHIK Peter,ISR,JUD
856,Bronze Medal,3,2021-07-31 00:00:00.0,LANIR I,LANIR Inbar,ISR,JUD
857,Bronze Medal,3,2021-07-31 00:00:00.0,SHARIR G,SHARIR Gili,ISR,JUD
858,Bronze Medal,3,2021-07-31 00:00:00.0,HERSHKO R,HERSHKO Raz,ISR,JUD
859,Bronze Medal,3,2021-07-31 00:00:00.0,NELSON LEVY T,NELSON LEVY Timna,ISR,JUD
860,Bronze Medal,3,2021-07-31 00:00:00.0,RISHONY S,RISHONY Shira,ISR,JUD
861,Bronze Medal,3,2021-07-31 00:00:00.0,WAGNER AM,WAGNER Anna-Maria,GER,JUD
862,Bronze Medal,3,2021-07-31 00:00:00.0,MENZ K,MENZ Katharina,GER,JUD
863,Bronze Medal,3,2021-07-31 00:00:00.0,SCOCCIMARRO G,SCOCCIMARRO Giovanna,GER,JUD
864,Bronze Medal,3,2021-07-31 00:00:00.0,FREY KR,FREY Karl-Richard,GER,JUD
865,Bronze Medal,3,2021-07-31 00:00:00.0,RESSEL D,RESSEL Dominic,GER,JUD
866,Bronze Medal,3,2021-07-31 00:00:00.0,SEIDL S,SEIDL Sebastian,GER,JUD
867,Bronze Medal,3,2021-07-31 00:00:00.0,WANDTKE I,WANDTKE Igor,GER,JUD
868,Bronze Medal,3,2021-07-31 00:00:00.0,FREY J,FREY Johannes,GER,JUD
869,Bronze Medal,3,2021-07-31 00:00:00.0,TRIPPEL E,TRIPPEL Eduard,GER,JUD
870,Bronze Medal,3,2021-07-31 00:00:00.0,TRAJDOS M,TRAJDOS Martyna,GER,JUD
871,Bronze Medal,3,2021-07-31 00:00:00.0,STOLL T,STOLL Theresa,GER,JUD
872,Bronze Medal,3,2021-07-31 00:00:00.0,GRABOWSKI J,GRABOWSKI Jasmin,GER,JUD
873,Gold Medal,1,2021-07-31 00:00:00.0,BLYDE M,BLYDE Michaela,NZL,RUG
874,Gold Medal,1,2021-07-31 00:00:00.0,BROUGHTON G,BROUGHTON Gayle,NZL,RUG
875,Gold Medal,1,2021-07-31 00:00:00.0,POURI-LANE R,POURI-LANE Risi,NZL,RUG
876,Gold Medal,1,2021-07-31 00:00:00.0,SAILI A,SAILI Alena,NZL,RUG
877,Gold Medal,1,2021-07-31 00:00:00.0,KAKA S,KAKA Shiray,NZL,RUG
878,Gold Medal,1,2021-07-31 00:00:00.0,TUI R,TUI Ruby,NZL,RUG
879,Gold Medal,1,2021-07-31 00:00:00.0,FLUHLER S,FLUHLER Stacey,NZL,RUG
880,Gold Medal,1,2021-07-31 00:00:00.0,WILLISON T,WILLISON Tenika,NZL,RUG
881,Gold Medal,1,2021-07-31 00:00:00.0,WOODMAN P,WOODMAN Portia,NZL,RUG
882,Gold Medal,1,2021-07-31 00:00:00.0,NATHAN-WONG T,NATHAN-WONG Tyla,NZL,RUG
883,Gold Medal,1,2021-07-31 00:00:00.0,FITZPATRICK T,FITZPATRICK Theresa,NZL,RUG
884,Gold Medal,1,2021-07-31 00:00:00.0,HIRINI S,HIRINI Sarah,NZL,RUG
885,Gold Medal,1,2021-07-31 00:00:00.0,BRAZIER K,BRAZIER Kelly,NZL,RUG
886,Silver Medal,2,2021-07-31 00:00:00.0,BERTRAND C,BERTRAND Coralie,FRA,RUG
887,Silver Medal,2,2021-07-31 00:00:00.0,CIOFANI AC,CIOFANI Anne-Cecile,FRA,RUG
888,Silver Medal,2,2021-07-31 00:00:00.0,DROUIN C,DROUIN Caroline,FRA,RUG
889,Silver Medal,2,2021-07-31 00:00:00.0,GRASSINEAU C,GRASSINEAU Camille,FRA,RUG
890,Silver Medal,2,2021-07-31 00:00:00.0,GUERIN L,GUERIN Lina,FRA,RUG
891,Silver Medal,2,2021-07-31 00:00:00.0,HORTA F,HORTA Fanny,FRA,RUG
892,Silver Medal,2,2021-07-31 00:00:00.0,IZAR S,IZAR Shannon,FRA,RUG
893,Silver Medal,2,2021-07-31 00:00:00.0,JACQUET C,JACQUET Chloe,FRA,RUG
894,Silver Medal,2,2021-07-31 00:00:00.0,ULUTULE J,ULUTULE Jade,FRA,RUG
895,Silver Medal,2,2021-07-31 00:00:00.0,NEISEN C,NEISEN Carla,FRA,RUG
896,Silver Medal,2,2021-07-31 00:00:00.0,OKEMBA S,OKEMBA Seraphine,FRA,RUG
897,Silver Medal,2,2021-07-31 00:00:00.0,PELLE C,PELLE Chloe,FRA,RUG
898,Bronze Medal,3,2021-07-31 00:00:00.0,LIKUCEVA L,LIKUCEVA Laisana,FIJ,RUG
899,Bronze Medal,3,2021-07-31 00:00:00.0,ULUNISAU R,ULUNISAU Reapi,FIJ,RUG
900,Bronze Medal,3,2021-07-31 00:00:00.0,ROQICA A,ROQICA Ana,FIJ,RUG
901,Bronze Medal,3,2021-07-31 00:00:00.0,NAGASAU R,NAGASAU Rusila,FIJ,RUG
902,Bronze Medal,3,2021-07-31 00:00:00.0,SOLIKOVITI V,SOLIKOVITI Vasiti,FIJ,RUG
903,Bronze Medal,3,2021-07-31 00:00:00.0,TINAI L,TINAI Lavenia,FIJ,RUG
904,Bronze Medal,3,2021-07-31 00:00:00.0,NAIMASI AM,NAIMASI Ana Maria,FIJ,RUG
905,Bronze Medal,3,2021-07-31 00:00:00.0,RIWAI V,RIWAI Viniana,FIJ,RUG
906,Bronze Medal,3,2021-07-31 00:00:00.0,RADINIYAVUNI R,RADINIYAVUNI Roela,FIJ,RUG
907,Bronze Medal,3,2021-07-31 00:00:00.0,NAKOCI A,NAKOCI Alowesi,FIJ,RUG
908,Bronze Medal,3,2021-07-31 00:00:00.0,DAVEUA R,DAVEUA Raijieli,FIJ,RUG
909,Bronze Medal,3,2021-07-31 00:00:00.0,CAVURU L,CAVURU Lavena,FIJ,RUG
910,Bronze Medal,3,2021-07-31 00:00:00.0,DONU S,DONU Sesenieli,FIJ,RUG
911,Gold Medal,1,2021-07-31 00:00:00.0,BADLOE K,BADLOE Kiran,NED,SAL
912,Silver Medal,2,2021-07-31 00:00:00.0,GOYARD T,GOYARD Thomas,FRA,SAL
913,Bronze Medal,3,2021-07-31 00:00:00.0,BI K,BI Kun,CHN,SAL
914,Gold Medal,1,2021-07-31 00:00:00.0,LU Y,LU Yunxiu,CHN,SAL
915,Silver Medal,2,2021-07-31 00:00:00.0,PICON C,PICON Charline,FRA,SAL
916,Bronze Medal,3,2021-07-31 00:00:00.0,WILSON E,WILSON Emma,GBR,SAL
917,Gold Medal,1,2021-07-31 00:00:00.0,CHRISTEN N,CHRISTEN Nina,SUI,SHO
918,Silver Medal,2,2021-07-31 00:00:00.0,ZYKOVA Y,ZYKOVA Yulia,ROC,SHO
919,Bronze Medal,3,2021-07-31 00:00:00.0,KARIMOVA Y,KARIMOVA Yulia,ROC,SHO
920,Gold Medal,1,2021-07-31 00:00:00.0,FERNANDEZ A,FERNANDEZ Alberto,ESP,SHO
921,Gold Medal,1,2021-07-31 00:00:00.0,GALVEZ F,GALVEZ Fatima,ESP,SHO
922,Silver Medal,2,2021-07-31 00:00:00.0,PERILLI A,PERILLI Alessandra,SMR,SHO
923,Silver Medal,2,2021-07-31 00:00:00.0,BERTI GM,BERTI Gian Marco,SMR,SHO
924,Bronze Medal,3,2021-07-31 00:00:00.0,BERNAU MA,BERNAU Madelynn Ann,USA,SHO
925,Bronze Medal,3,2021-07-31 00:00:00.0,BURROWS B,BURROWS Brian,USA,SHO
926,Gold Medal,1,2021-07-31 00:00:00.0,DRESSEL C,DRESSEL Caeleb,USA,SWM
927,Silver Medal,2,2021-07-31 00:00:00.0,MILAK K,MILAK Kristof,HUN,SWM
928,Bronze Medal,3,2021-07-31 00:00:00.0,PONTI N,PONTI Noe,SUI,SWM
929,Gold Medal,1,2021-07-31 00:00:00.0,ANDERSON F,ANDERSON Freya,GBR,SWM
930,Gold Medal,1,2021-07-31 00:00:00.0,DAWSON K,DAWSON Kathleen,GBR,SWM
931,Gold Medal,1,2021-07-31 00:00:00.0,GUY J,GUY James,GBR,SWM
932,Gold Medal,1,2021-07-31 00:00:00.0,HOPKIN A,HOPKIN Anna,GBR,SWM
933,Gold Medal,1,2021-07-31 00:00:00.0,PEATY A,PEATY Adam,GBR,SWM
934,Silver Medal,2,2021-07-31 00:00:00.0,ZHANG Y,ZHANG Yufei,CHN,SWM
935,Silver Medal,2,2021-07-31 00:00:00.0,YANG J,YANG Junxuan,CHN,SWM
936,Silver Medal,2,2021-07-31 00:00:00.0,YAN Z,YAN Zibei,CHN,SWM
937,Silver Medal,2,2021-07-31 00:00:00.0,XU J,XU Jiayu,CHN,SWM
938,Bronze Medal,3,2021-07-31 00:00:00.0,TEMPLE M,TEMPLE Matthew,AUS,SWM
939,Bronze Medal,3,2021-07-31 00:00:00.0,THROSSELL B,THROSSELL Brianna,AUS,SWM
940,Bronze Medal,3,2021-07-31 00:00:00.0,COOPER I,COOPER Isaac,AUS,SWM
941,Bronze Medal,3,2021-07-31 00:00:00.0,STUBBLETY-COOK I,STUBBLETY-COOK Izaac,AUS,SWM
942,Bronze Medal,3,2021-07-31 00:00:00.0,McKEOWN K,McKEOWN Kaylee,AUS,SWM
943,Bronze Medal,3,2021-07-31 00:00:00.0,McKEON E,McKEON Emma,AUS,SWM
944,Bronze Medal,3,2021-07-31 00:00:00.0,CAMPBELL B,CAMPBELL Bronte,AUS,SWM
945,Gold Medal,1,2021-07-31 00:00:00.0,McKEOWN K,McKEOWN Kaylee,AUS,SWM
946,Silver Medal,2,2021-07-31 00:00:00.0,MASSE K,MASSE Kylie,CAN,SWM
947,Bronze Medal,3,2021-07-31 00:00:00.0,SEEBOHM E,SEEBOHM Emily,AUS,SWM
948,Gold Medal,1,2021-07-31 00:00:00.0,LEDECKY K,LEDECKY Kathleen,USA,SWM
949,Silver Medal,2,2021-07-31 00:00:00.0,TITMUS A,TITMUS Ariarne,AUS,SWM
950,Bronze Medal,3,2021-07-31 00:00:00.0,QUADARELLA S,QUADARELLA Simona,ITA,SWM
951,Bronze Medal,3,2021-07-31 00:00:00.0,CARRENO BUSTA P,CARRENO BUSTA Pablo,ESP,TEN
952,Bronze Medal,3,2021-07-31 00:00:00.0,PEERS J,PEERS John,AUS,TEN
953,Bronze Medal,3,2021-07-31 00:00:00.0,BARTY A,BARTY Ashleigh,AUS,TEN
954,Bronze Medal,3,2021-07-31 00:00:00.0,PIGOSSI L,PIGOSSI Laura,BRA,TEN
955,Bronze Medal,3,2021-07-31 00:00:00.0,STEFANI L,STEFANI Luisa,BRA,TEN
956,Gold Medal,1,2021-07-31 00:00:00.0,BENCIC B,BENCIC Belinda,SUI,TEN
957,Silver Medal,2,2021-07-31 00:00:00.0,VONDROUSOVA M,VONDROUSOVA Marketa,CZE,TEN
958,Bronze Medal,3,2021-07-31 00:00:00.0,SVITOLINA E,SVITOLINA Elina,UKR,TEN
959,Gold Medal,1,2021-07-31 00:00:00.0,LITVINOVICH I,LITVINOVICH Ivan,BLR,GTR
960,Silver Medal,2,2021-07-31 00:00:00.0,DONG D,DONG Dong,CHN,GTR
961,Bronze Medal,3,2021-07-31 00:00:00.0,SCHMIDT D,SCHMIDT Dylan,NZL,GTR
962,Gold Medal,1,2021-07-31 00:00:00.0,TAYLOR-BROWN G,TAYLOR-BROWN Georgia,GBR,TRI
963,Gold Medal,1,2021-07-31 00:00:00.0,YEE A,YEE Alex,GBR,TRI
964,Gold Medal,1,2021-07-31 00:00:00.0,BROWNLEE J,BROWNLEE Jonathan,GBR,TRI
965,Gold Medal,1,2021-07-31 00:00:00.0,LEARMONTH J,LEARMONTH Jessica,GBR,TRI
966,Silver Medal,2,2021-07-31 00:00:00.0,ZAFERES K,ZAFERES Katie,USA,TRI
967,Silver Medal,2,2021-07-31 00:00:00.0,PEARSON M,PEARSON Morgan,USA,TRI
968,Silver Medal,2,2021-07-31 00:00:00.0,KNIBB T,KNIBB Taylor,USA,TRI
969,Silver Medal,2,2021-07-31 00:00:00.0,McDOWELL K,McDOWELL Kevin,USA,TRI
970,Bronze Medal,3,2021-07-31 00:00:00.0,BEAUGRAND C,BEAUGRAND Cassandre,FRA,TRI
971,Bronze Medal,3,2021-07-31 00:00:00.0,CONINX D,CONINX Dorian,FRA,TRI
972,Bronze Medal,3,2021-07-31 00:00:00.0,LUIS V,LUIS Vincent,FRA,TRI
973,Bronze Medal,3,2021-07-31 00:00:00.0,PERIAULT L,PERIAULT Leonie,FRA,TRI
974,Gold Medal,1,2021-07-31 00:00:00.0,LYU X,LYU Xiaojun,CHN,WLF
975,Silver Medal,2,2021-07-31 00:00:00.0,BONNAT MICHEL Z,BONNAT MICHEL Zacarias,DOM,WLF
976,Bronze Medal,3,2021-07-31 00:00:00.0,PIZZOLATO A,PIZZOLATO Antonino,ITA,WLF
977,Gold Medal,1,2021-07-31 00:00:00.0,ELBAKH FIEH,ELBAKH Fares Ibrahim E H,QAT,WLF
978,Silver Medal,2,2021-07-31 00:00:00.0,VALLENILLA SANCHEZ,VALLENILLA SANCHEZ Keydomar Giovan.,VEN,WLF
979,Bronze Medal,3,2021-07-31 00:00:00.0,PLIESNOI A,PLIESNOI Anton,GEO,WLF
980,Gold Medal,1,2021-08-01 00:00:00.0,DOLGOPYAT A,DOLGOPYAT Artem,ISR,GAR
981,Silver Medal,2,2021-08-01 00:00:00.0,ZAPATA R,ZAPATA Rayderley,ESP,GAR
982,Bronze Medal,3,2021-08-01 00:00:00.0,XIAO R,XIAO Ruoteng,CHN,GAR
983,Gold Medal,1,2021-08-01 00:00:00.0,WHITLOCK M,WHITLOCK Max,GBR,GAR
984,Silver Medal,2,2021-08-01 00:00:00.0,LEE CK,LEE Chih Kai,TPE,GAR
985,Bronze Medal,3,2021-08-01 00:00:00.0,KAYA K,KAYA Kazuma,JPN,GAR
986,Gold Medal,1,2021-08-01 00:00:00.0,DERWAEL N,DERWAEL Nina,BEL,GAR
987,Silver Medal,2,2021-08-01 00:00:00.0,ILIANKOVA A,ILIANKOVA Anastasiia,ROC,GAR
988,Bronze Medal,3,2021-08-01 00:00:00.0,LEE S,LEE Sunisa,USA,GAR
989,Gold Medal,1,2021-08-01 00:00:00.0,ANDRADE R,ANDRADE Rebeca,BRA,GAR
990,Silver Medal,2,2021-08-01 00:00:00.0,SKINNER M,SKINNER Mykayla,USA,GAR
991,Bronze Medal,3,2021-08-01 00:00:00.0,YEO S,YEO Seojeong,KOR,GAR
992,Gold Medal,1,2021-08-01 00:00:00.0,JACOBS LM,JACOBS Lamont Marcell,ITA,ATH
993,Silver Medal,2,2021-08-01 00:00:00.0,KERLEY F,KERLEY Fred,USA,ATH
994,Bronze Medal,3,2021-08-01 00:00:00.0,de GRASSE A,de GRASSE Andre,CAN,ATH
995,Gold Medal,1,2021-08-01 00:00:00.0,BARSHIM ME,BARSHIM Mutaz Essa,QAT,ATH
996,Gold Medal,1,2021-08-01 00:00:00.0,TAMBERI G,TAMBERI Gianmarco,ITA,ATH
997,Bronze Medal,3,2021-08-01 00:00:00.0,NEDASEKAU M,NEDASEKAU Maksim,BLR,ATH
998,Gold Medal,1,2021-08-01 00:00:00.0,GONG L,GONG Lijiao,CHN,ATH
999,Silver Medal,2,2021-08-01 00:00:00.0,SAUNDERS R,SAUNDERS Raven,USA,ATH
1000,Bronze Medal,3,2021-08-01 00:00:00.0,ADAMS V,ADAMS Valerie,NZL,ATH
1001,Gold Medal,1,2021-08-01 00:00:00.0,ROJAS Y,ROJAS Yulimar,VEN,ATH
1002,Silver Medal,2,2021-08-01 00:00:00.0,MAMONA P,MAMONA Patricia,POR,ATH
1003,Bronze Medal,3,2021-08-01 00:00:00.0,PELETEIRO A,PELETEIRO Ana,ESP,ATH
1004,Gold Medal,1,2021-08-01 00:00:00.0,CHEN Yu Fei,CHEN Yu Fei,CHN,BDM
1005,Silver Medal,2,2021-08-01 00:00:00.0,TAI TY,TAI Tzu-Ying,TPE,BDM
1006,Bronze Medal,3,2021-08-01 00:00:00.0,PUSARLA VS,PUSARLA V. Sindhu,IND,BDM
1007,Bronze Medal,3,2021-08-01 00:00:00.0,ALFONSO DOMINGUEZ,ALFONSO DOMINGUEZ Loren Berto,AZE,BOX
1008,Bronze Medal,3,2021-08-01 00:00:00.0,KHATAEV I,KHATAEV Imam,ROC,BOX
1009,Bronze Medal,3,2021-08-01 00:00:00.0,WALSH A,WALSH Aidan,IRL,BOX
1010,Bronze Medal,3,2021-08-01 00:00:00.0,ZAMKOVOI A,ZAMKOVOI Andrei,ROC,BOX
1011,Gold Medal,1,2021-08-01 00:00:00.0,MARTIN L,MARTIN Logan,AUS,BMF
1012,Silver Medal,2,2021-08-01 00:00:00.0,DHERS D,DHERS Daniel,VEN,BMF
1013,Bronze Medal,3,2021-08-01 00:00:00.0,BROOKS D,BROOKS Declan,GBR,BMF
1014,Gold Medal,1,2021-08-01 00:00:00.0,WORTHINGTON C,WORTHINGTON Charlotte,GBR,BMF
1015,Silver Medal,2,2021-08-01 00:00:00.0,ROBERTS H,ROBERTS Hannah,USA,BMF
1016,Bronze Medal,3,2021-08-01 00:00:00.0,DUCARROZ N,DUCARROZ Nikita,SUI,BMF
1017,Gold Medal,1,2021-08-01 00:00:00.0,SHI T,SHI Tingmao,CHN,DIV
1018,Silver Medal,2,2021-08-01 00:00:00.0,WANG H,WANG Han,CHN,DIV
1019,Bronze Medal,3,2021-08-01 00:00:00.0,PALMER K,PALMER Krysta,USA,DIV
1020,Gold Medal,1,2021-08-01 00:00:00.0,le PECHOUX E,le PECHOUX Erwann,FRA,FEN
1021,Gold Medal,1,2021-08-01 00:00:00.0,LEFORT E,LEFORT Enzo,FRA,FEN
1022,Gold Medal,1,2021-08-01 00:00:00.0,MERTINE J,MERTINE Julien,FRA,FEN
1023,Gold Medal,1,2021-08-01 00:00:00.0,PAUTY M,PAUTY Maxime,FRA,FEN
1024,Silver Medal,2,2021-08-01 00:00:00.0,SAFIN T,SAFIN Timur,ROC,FEN
1025,Silver Medal,2,2021-08-01 00:00:00.0,BORODACHEV K,BORODACHEV Kirill,ROC,FEN
1026,Silver Medal,2,2021-08-01 00:00:00.0,BORODACHEV A,BORODACHEV Anton,ROC,FEN
1027,Silver Medal,2,2021-08-01 00:00:00.0,MYLNIKOV V,MYLNIKOV Vladislav,ROC,FEN
1028,Bronze Medal,3,2021-08-01 00:00:00.0,ITKIN N,ITKIN Nick,USA,FEN
1029,Bronze Medal,3,2021-08-01 00:00:00.0,IMBODEN R,IMBODEN Race,USA,FEN
1030,Bronze Medal,3,2021-08-01 00:00:00.0,MASSIALAS A,MASSIALAS Alexander,USA,FEN
1031,Bronze Medal,3,2021-08-01 00:00:00.0,MEINHARDT G,MEINHARDT Gerek,USA,FEN
1032,Gold Medal,1,2021-08-01 00:00:00.0,SCHAUFFELE X,SCHAUFFELE Xander,USA,GLF
1033,Silver Medal,2,2021-08-01 00:00:00.0,SABBATINI R,SABBATINI Rory,SVK,GLF
1034,Bronze Medal,3,2021-08-01 00:00:00.0,PAN C T,PAN C T,TPE,GLF
1035,Gold Medal,1,2021-08-01 00:00:00.0,WEARN M,WEARN Matt,AUS,SAL
1036,Silver Medal,2,2021-08-01 00:00:00.0,STIPANOVIC T,STIPANOVIC Tonci,CRO,SAL
1037,Bronze Medal,3,2021-08-01 00:00:00.0,TOMASGAARD H,TOMASGAARD Hermann,NOR,SAL
1038,Gold Medal,1,2021-08-01 00:00:00.0,RINDOM AM,RINDOM Anne-Marie,DEN,SAL
1039,Silver Medal,2,2021-08-01 00:00:00.0,OLSSON J,OLSSON Josefin,SWE,SAL
1040,Bronze Medal,3,2021-08-01 00:00:00.0,BOUWMEESTER M,BOUWMEESTER Marit,NED,SAL
1041,Gold Medal,1,2021-08-01 00:00:00.0,FINKE R,FINKE Robert,USA,SWM
1042,Silver Medal,2,2021-08-01 00:00:00.0,ROMANCHUK M,ROMANCHUK Mykhailo,UKR,SWM
1043,Bronze Medal,3,2021-08-01 00:00:00.0,WELLBROCK F,WELLBROCK Florian,GER,SWM
1044,Gold Medal,1,2021-08-01 00:00:00.0,ARMSTRONG J,ARMSTRONG Joseph,USA,SWM
1045,Gold Medal,1,2021-08-01 00:00:00.0,WILSON A,WILSON Andrew,USA,SWM
1046,Gold Medal,1,2021-08-01 00:00:00.0,DRESSEL C,DRESSEL Caeleb,USA,SWM
1047,Gold Medal,1,2021-08-01 00:00:00.0,APPLE Z,APPLE Zach,USA,SWM
1048,Gold Medal,1,2021-08-01 00:00:00.0,SHIELDS T,SHIELDS Tom,USA,SWM
1049,Gold Medal,1,2021-08-01 00:00:00.0,PIERONI B,PIERONI Blake,USA,SWM
1050,Gold Medal,1,2021-08-01 00:00:00.0,ANDREW M,ANDREW Michael,USA,SWM
1051,Gold Medal,1,2021-08-01 00:00:00.0,MURPHY R,MURPHY Ryan,USA,SWM
1052,Silver Medal,2,2021-08-01 00:00:00.0,WILBY J,WILBY James,GBR,SWM
